Rank,Game,Platform,Hours Played,Sessions,First Played,Last Played,Last Update,Days Active,Avg Session Hr,Engagement Tier,Genre,Gen,Top_Download_Year,Store_Category,Store_Region,Was_Top_Download
1,Genshin Impact,PS5,2608.0,2055,2021-07-20,2026-03-31,2026-04-01,1716,1.27,Hardcore,Gacha/RPG,PS5,,,,False
3,NBA 2K23,PS5,872.0,412,2022-09-10,2023-09-05,2026-04-01,361,2.12,Hardcore,Sports,PS5,2023.0,PS5 Games,EU,True
4,Honkai: Star Rail,PS5,677.0,663,2023-10-11,2026-03-31,2026-04-01,903,1.02,Hardcore,Gacha/RPG,PS5,,,,False
5,NBA 2K24,PS5,549.0,318,2023-09-08,2024-09-03,2026-04-01,362,1.73,Hardcore,Sports,PS5,2023.0,PS5 Games,US/Canada,True
6,NBA 2K22,PS5,536.0,341,2021-09-12,2025-07-15,2026-04-01,1403,1.57,Hardcore,Sports,PS5,,,,False
7,NBA 2K26,PS5,411.0,201,2025-09-05,2026-03-29,2026-04-01,206,2.04,Hardcore,Sports,PS5,2025.0,PS5 Games,US/Canada,True
8,NBA 2K25,PS5,376.0,239,2024-09-04,2025-09-03,2026-04-01,365,1.57,Hardcore,Sports,PS5,2024.0,PS5 Games,US/Canada,True
9,Baldur's Gate 3,PS5,324.0,83,2024-01-19,2025-07-17,2026-04-01,546,3.9,Hardcore,RPG,PS5,2023.0,PS5 Games,US/Canada,True
11,Marvel Rivals,PS5,227.0,162,2024-12-07,2026-02-14,2026-04-01,435,1.4,Hardcore,Action/Shooter,PS5,,,,False
12,Persona 5,PS4,220.0,55,2023-04-11,2024-09-25,2026-04-01,534,4.0,Hardcore,RPG,PS4,,,,False
13,Cyberpunk 2077,PS4,195.0,54,2023-10-02,2026-02-14,2026-04-01,867,3.61,Hardcore,Action/RPG,PS4,2023.0,PS5 Games,EU,True
15,Persona 5 Royal,PS4,179.0,54,2024-07-30,2025-10-05,2026-04-01,433,3.31,Hardcore,RPG,PS4,,,,False
16,Like a Dragon: Infinite Wealth PS4 & PS5,PS5,148.0,31,2025-02-28,2025-04-01,2026-04-01,33,4.77,Engaged,RPG,PS5,,,,False
17,MLB The Show 25,PS5,144.0,64,2025-03-18,2026-02-20,2026-04-01,340,2.25,Engaged,Sports,PS5,2025.0,PS5 Games,US/Canada,True
18,FINAL FANTASY VII REBIRTH,PS5,137.0,36,2024-02-29,2024-09-08,2026-04-01,193,3.81,Engaged,RPG,PS5,2024.0,PS5 Games,US/Canada,True
19,FINAL FANTASY VII REMAKE,PS5,111.0,50,2021-07-01,2026-02-07,2026-04-01,1683,2.22,Engaged,RPG,PS5,,,,False
20,Diablo IV,PS4,102.0,29,2025-01-04,2025-12-27,2026-04-01,358,3.52,Engaged,Action/RPG,PS4,2023.0,PS5 Games,US/Canada,True
21,Wuthering Waves: Version 2.0,PS5,96.0,55,2025-01-02,2026-01-06,2026-04-01,370,1.75,Engaged,Gacha/RPG,PS5,,,,False
22,Persona 3 Reload,PS5,93.0,26,2024-02-03,2024-10-10,2026-04-01,251,3.58,Engaged,RPG,PS5,,,,False
23,NBA 2K17,PS4,92.0,51,2021-04-17,2025-10-19,2026-04-01,1647,1.8,Engaged,Sports,PS4,,,,False
24,NBA 2K21,PS5,89.0,77,2021-04-24,2021-09-06,2026-04-01,136,1.16,Engaged,Sports,PS5,,,,False
25,NBA 2K22,PS4,87.0,55,2021-11-09,2021-12-02,2026-04-01,24,1.58,Engaged,Sports,PS4,,,,False
26,ELDEN RING,PS4,86.0,33,2024-02-24,2025-08-25,2026-04-01,549,2.61,Engaged,Action/RPG,PS4,2024.0,PS5 Games,EU,True
27,Metaphor: ReFantazio,PS5,85.0,22,2024-12-25,2025-02-01,2026-04-01,39,3.86,Engaged,RPG,PS5,,,,False
28,Clair Obscur: Expedition 33,PS5,85.0,12,2025-04-25,2025-05-04,2026-04-01,10,7.08,Engaged,RPG,PS5,2025.0,PS5 Games,US/Canada,True
29,Ghost of Tsushima,PS4,82.0,36,2023-11-20,2025-10-13,2026-04-01,694,2.28,Engaged,Action/Adventure,PS4,,,,False
30,God of War Ragnarok,PS5,75.0,15,2022-12-25,2024-05-28,2026-04-01,521,5.0,Engaged,Action/Adventure,PS5,,,,False
31,Hollow Knight: Silksong,PS5,74.0,23,2025-09-05,2026-02-11,2026-04-01,160,3.22,Engaged,Indie/Platformer,PS5,,,,False
32,MLB The Show 26,PS5,74.0,24,2026-03-17,2026-03-31,2026-04-01,15,3.08,Engaged,Sports,PS5,,,,False
33,Destiny 2,PS5,68.0,26,2021-04-17,2026-01-13,2026-04-01,1733,2.62,Engaged,Action/Shooter,PS5,,,,False
34,Stellar Blade,PS5,59.0,23,2024-04-27,2024-12-23,2026-04-01,241,2.57,Engaged,Other,PS5,,,,False
35,The Witcher 3: Wild Hunt,PS5,59.0,20,2024-06-19,2025-07-17,2026-04-01,394,2.95,Engaged,Action/RPG,PS5,,,,False
36,Marvel's Spider-Man 2,PS5,59.0,31,2023-10-20,2024-10-04,2026-04-01,351,1.9,Engaged,Action/Adventure,PS5,2023.0,PS5 Games,US/Canada,True
37,Rise of the Ronin,PS5,55.0,18,2024-04-26,2025-02-08,2026-04-01,289,3.06,Engaged,Action/Adventure,PS5,,,,False
39,Hogwarts Legacy,PS5,53.0,14,2023-02-10,2023-03-27,2026-04-01,46,3.79,Engaged,Action/Adventure,PS5,2023.0,PS5 Games,US/Canada,True
40,STAR WARS Jedi: Survivor,PS5,52.0,15,2023-04-28,2025-05-15,2026-04-01,749,3.47,Engaged,Action/Adventure,PS5,2023.0,PS5 Games,US/Canada,True
41,MLB The Show 23,PS4,51.0,25,2025-01-20,2025-01-27,2026-04-01,8,2.04,Engaged,Sports,PS4,2023.0,PS5 Games,US/Canada,True
