Rank,Game,Platform,Hours Played,Sessions,First Played,Last Played,Last Update
1,Genshin Impact,PS5,2608,2055,2021-07-20,2026-03-31,2026-04-01
2,Crunchyroll,PS4,928,749,2021-04-07,2026-03-29,2026-04-01
3,NBA 2K23,PS5,872,412,2022-09-10,2023-09-05,2026-04-01
4,Honkai: Star Rail,PS5,677,663,2023-10-11,2026-03-31,2026-04-01
5,NBA 2K24,PS5,549,318,2023-09-08,2024-09-03,2026-04-01
6,NBA 2K22,PS5,536,341,2021-09-12,2025-07-15,2026-04-01
7,NBA 2K26,PS5,411,201,2025-09-05,2026-03-29,2026-04-01
8,NBA 2K25,PS5,376,239,2024-09-04,2025-09-03,2026-04-01
9,Baldur's Gate 3,PS5,324,83,2024-01-19,2025-07-17,2026-04-01
10,Twitch,PS4,288,338,2022-02-08,2024-08-21,2026-04-01
11,Marvel Rivals,PS5,227,162,2024-12-07,2026-02-14,2026-04-01
12,Persona 5,PS4,220,55,2023-04-11,2024-09-25,2026-04-01
13,Cyberpunk 2077,PS4,195,54,2023-10-02,2026-02-14,2026-04-01
14,Netflix,PS4,187,159,2021-04-17,2025-08-25,2026-04-01
15,Persona 5 Royal,PS4,179,54,2024-07-30,2025-10-05,2026-04-01
16,Like a Dragon: Infinite Wealth PS4 & PS5,PS5,148,31,2025-02-28,2025-04-01,2026-04-01
17,MLB The Show 25,PS5,144,64,2025-03-18,2026-02-20,2026-04-01
18,FINAL FANTASY VII REBIRTH,PS5,137,36,2024-02-29,2024-09-08,2026-04-01
19,FINAL FANTASY VII REMAKE,PS5,111,50,2021-07-01,2026-02-07,2026-04-01
20,Diablo IV,PS4,102,29,2025-01-04,2025-12-27,2026-04-01
21,Wuthering Waves: Version 2.0,PS5,96,55,2025-01-02,2026-01-06,2026-04-01
22,Persona 3 Reload,PS5,93,26,2024-02-03,2024-10-10,2026-04-01
23,NBA 2K17,PS4,92,51,2021-04-17,2025-10-19,2026-04-01
24,NBA 2K21,PS5,89,77,2021-04-24,2021-09-06,2026-04-01
25,NBA 2K22,PS4,87,55,2021-11-09,2021-12-02,2026-04-01
26,ELDEN RING,PS4,86,33,2024-02-24,2025-08-25,2026-04-01
27,Metaphor: ReFantazio,PS5,85,22,2024-12-25,2025-02-01,2026-04-01
28,Clair Obscur: Expedition 33,PS5,85,12,2025-04-25,2025-05-04,2026-04-01
29,Ghost of Tsushima,PS4,82,36,2023-11-20,2025-10-13,2026-04-01
30,God of War Ragnarok,PS5,75,15,2022-12-25,2024-05-28,2026-04-01
31,Hollow Knight: Silksong,PS5,74,23,2025-09-05,2026-02-11,2026-04-01
32,MLB The Show 26,PS5,74,24,2026-03-17,2026-03-31,2026-04-01
33,Destiny 2,PS5,68,26,2021-04-17,2026-01-13,2026-04-01
34,Stellar Blade,PS5,59,23,2024-04-27,2024-12-23,2026-04-01
35,The Witcher 3: Wild Hunt,PS5,59,20,2024-06-19,2025-07-17,2026-04-01
36,Marvel's Spider-Man 2,PS5,59,31,2023-10-20,2024-10-04,2026-04-01
37,Rise of the Ronin,PS5,55,18,2024-04-26,2025-02-08,2026-04-01
38,Max,PS4,53,45,2023-05-25,2025-08-25,2026-04-01
39,Hogwarts Legacy,PS5,53,14,2023-02-10,2023-03-27,2026-04-01
40,STAR WARS Jedi: Survivor,PS5,52,15,2023-04-28,2025-05-15,2026-04-01
41,MLB The Show 23,PS4,51,25,2025-01-20,2025-01-27,2026-04-01
42,Call of Duty: Modern Warfare II,PS5,51,30,2024-10-27,2024-11-17,2026-04-01
43,LEGO Star Wars: The Skywalker Saga,PS5,50,38,2022-04-10,2023-08-05,2026-04-01
44,Apex Legends,PS4,47,60,2021-04-05,2023-05-25,2026-04-01
45,Ghost of Yotei,PS5,42,8,2025-10-05,2026-01-21,2026-04-01
46,KINGDOM HEARTS III,PS4,41,10,2023-03-22,2023-04-21,2026-04-01
47,Sea of Stars,PS4,40,10,2023-11-22,2024-07-23,2026-04-01
48,Minecraft,PS4,40,22,2022-04-15,2024-12-18,2026-04-01
49,Assassin's Creed Shadows,PS5,40,8,2025-03-20,2025-04-05,2026-04-01
50,Dungeon Defenders II,PS4,35,26,2024-11-17,2025-05-30,2026-04-01
51,Genshin Impact,PS4,34,15,2021-07-12,2021-11-26,2026-04-01
52,STAR WARS Battlefront II,PS4,34,35,2022-08-22,2025-07-19,2026-04-01
53,ONE PIECE ODYSSEY,PS5,29,6,2023-02-03,2023-05-24,2026-04-01
54,MLB The Show 22,PS4,29,30,2022-08-05,2022-12-20,2026-04-01
55,Borderlands: The Handsome Collection,PS4,29,12,2022-02-07,2024-09-15,2026-04-01
56,A.O.T. 2,PS4,27,21,2021-04-26,2025-04-14,2026-04-01
57,Granblue Fantasy: Relink,PS5,27,15,2024-04-26,2024-05-16,2026-04-01
58,YouTube,PS4,26,21,2021-08-13,2023-10-05,2026-04-01
59,ELDEN RING NIGHTREIGN,PS5,26,8,2025-05-31,2025-07-31,2026-04-01
60,Spiritfarer,PS4,25,11,2022-07-09,2024-08-29,2026-04-01
61,Assassin's Creed Syndicate,PS4,25,12,2024-11-17,2024-11-23,2026-04-01
62,Hollow Knight,PS4,25,32,2021-10-19,2025-08-25,2026-04-01
63,FINAL FANTASY VII REMAKE,PS4,24,12,2021-05-09,2022-06-20,2026-04-01
64,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,PS4,23,40,2021-04-05,2025-03-10,2026-04-01
65,Where Winds Meet (F2P),PS5,23,4,2025-11-15,2025-11-24,2026-04-01
66,ONE PIECE WORLD SEEKER,PS4,21,13,2021-04-16,2022-03-06,2026-04-01
67,NEO: The World Ends with You,PS4,21,4,2023-06-25,2025-04-01,2026-04-01
68,Tomb Raider: Definitive Edition,PS4,20,8,2025-02-23,2025-02-27,2026-04-01
69,DRAGON BALL: Sparking! ZERO,PS5,20,25,2024-10-16,2024-12-23,2026-04-01
70,It Takes Two PS4 & PS5,PS4,18,15,2021-08-15,2025-05-30,2026-04-01
71,MLB The Show 23,PS5,17,8,2023-04-25,2025-08-31,2026-04-01
72,Horizon Forbidden West,PS4,17,7,2022-12-26,2023-04-28,2026-04-01
73,Splitgate,PS4,16,22,2021-07-24,2021-08-30,2026-04-01
74,Yakuza Kiwami,PS4,16,4,2024-11-12,2024-11-13,2026-04-01
75,Grand Theft Auto V,PS5,16,10,2026-01-21,2026-03-31,2026-04-01
76,Marvel's Spider-Man: Miles Morales,PS5,16,2,2023-10-07,2023-10-09,2026-04-01
77,NBA LIVE 19,PS4,16,13,2024-10-27,2024-11-08,2026-04-01
78,LEGO Harry Potter Collection,PS4,15,14,2022-02-09,2022-09-04,2026-04-01
79,HBO Max,PS4,15,10,2023-01-03,2023-05-25,2026-04-01
80,NBA 2K16,PS4,15,8,2022-07-28,2025-03-30,2026-04-01
81,SWORD ART ONLINE Alicization Lycoris,PS4,15,7,2021-10-11,2022-10-23,2026-04-01
82,BioShock: The Collection,PS4,15,8,2021-04-16,2024-08-31,2026-04-01
83,MLB The Show 21,PS4,14,18,2021-07-11,2021-08-13,2026-04-01
84,NieR Replicant ver.1.22474487139,PS4,14,21,2021-04-26,2025-04-24,2026-04-01
85,CRISIS CORE FINAL FANTASY VII REUNION,PS5,12,4,2022-12-26,2023-12-18,2026-04-01
86,LEGO Marvel Super Heroes,PS4,12,1,2021-08-13,2025-09-01,2026-04-01
